Rk,Player,Pos,Age,Team,G,MP,,FG,2P,3P,eFG,FT,TS,FTr,3PAr,,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,,FG Add,TS Add,-9999
1,Precious Achiuwa,C,22,TOR,73,1725,,.439,.468,.359,.486,.595,.503,.217,.259,,95,88,102,91,77,89,88,65,,-55.2,-83.8,achiupr01
2,Steven Adams,C,28,MEM,76,1999,,.547,.548,.000,.547,.543,.560,.518,.003,,119,103,,103,70,99,209,1,,11.7,-5.8,adamsst01
3,Bam Adebayo,C,24,MIA,56,1825,,.557,.562,.000,.557,.753,.608,.466,.008,,121,105,,105,97,107,188,2,,36.8,73.4,adebaba01
4,Santi Aldama,PF,21,MEM,32,360,,.402,.560,.125,.424,.625,.452,.242,.364,,87,105,35,80,81,80,98,91,,-28.4,-33.4,aldamsa01
5,LaMarcus Aldridge,C,36,BRK,47,1050,,.550,.578,.304,.566,.873,.604,.223,.100,,119,108,86,106,113,107,90,25,,31.0,37.7,aldrila01
6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,,.372,.433,.311,.449,.743,.475,.160,.497,,81,81,88,84,96,84,65,124,,-112.1,-132.0,alexani01
7,Grayson Allen,SG,26,MIL,66,1805,,.448,.533,.409,.588,.865,.609,.130,.684,,97,100,116,111,112,108,52,171,,63.9,52.0,allengr01
8,Jarrett Allen,C,23,CLE,56,1809,,.677,.688,.100,.678,.708,.698,.428,.018,,147,129,28,128,91,123,172,5,,159.5,171.0,allenja01
9,Jose Alvarado,PG,23,NOP,54,834,,.446,.538,.291,.500,.679,.520,.180,.374,,97,101,82,94,88,92,73,94,,-18.6,-29.2,alvarjo01
10,Justin Anderson,SF,28,TOT,16,316,,.379,.583,.254,.458,.789,.493,.200,.621,,82,110,72,86,102,87,81,156,,-14.0,-15.0,anderju01
11,Kyle Anderson,PF,28,MEM,69,1484,,.446,.481,.330,.484,.638,.506,.224,.232,,97,90,93,91,82,89,90,58,,-44.7,-62.2,anderky01
12,Giannis Antetokounmpo,PF,27,MIL,67,2204,,.553,.616,.293,.582,.722,.633,.615,.194,,120,116,83,109,93,112,248,49,,125.1,211.1,antetgi01
13,Thanasis Antetokounmpo,SF,29,MIL,48,473,,.547,.596,.143,.555,.630,.577,.359,.109,,119,112,40,104,81,102,145,27,,5.9,3.2,antetth01
14,Carmelo Anthony,PF,37,LAL,69,1793,,.441,.521,.375,.544,.830,.579,.220,.549,,96,98,106,102,107,102,89,138,,18.2,21.4,anthoca01
